Year,Study_Programme,Total_Admitted,Female_Admitted,Male_Admitted
2020,Totals,970,390,580
2020,B-DDIT,55,29,26
2020,B-DS,88,25,63
2020,B-GBI,95,41,54
2020,B-SWU,196,46,150
2020,K-CS,87,18,69
2020,K-DDK,133,92,41
2020,K-DIM,128,64,64
2020,K-GAMES,43,9,34
2020,K-SDT,145,66,79
2019,Totals,872,332,540
2019,B-DDIT,62,33,29
2019,B-DS,68,15,53
2019,B-GBI,72,37,35
2019,B-SWU,163,27,136
2019,K-CS,80,6,74
2019,K-DDK,139,92,47
2019,K-DIM,129,54,75
2019,K-GAMES,52,12,40
2019,K-SDT,107,56,51
2018,Totals,858,335,523
2018,B-DDIT,59,33,26
2018,B-DS,64,23,41
2018,B-GBI,69,28,41
2018,B-SWU,149,30,119
2018,K-CS,91,14,77
2018,K-DDK,139,91,48
2018,K-DIM,159,70,89
2018,K-GAMES,49,14,35
2018,K-SDT,79,32,47
2017,Totals,831,324,507
2017,B-DMD,63,32,31
2017,B-DS,56,15,41
2017,B-GBI,67,21,46
2017,B-SWU,147,33,114
2017,K-DDK,145,108,37
2017,K-DIM,132,66,66
2017,K-GAMES,61,12,49
2017,K-SDT,160,37,123
2016,Totals,752,268,484
2016,B-DMD,64,27,37
2016,B-GBI,66,20,46
2016,B-SWU,143,17,126
2016,K-DDK,136,97,39
2016,K-DIM,154,69,85
2016,K-GAMES,58,12,46
2016,K-SDT,131,26,105
2015,Totals,627,229,398
2015,B-DMD,69,36,33
2015,B-GBI,57,9,48
2015,B-SWU,89,9,80
2015,K-DDK,136,95,41
2015,K-DIM,123,56,67
2015,K-GAMES,51,10,41
2015,K-SDT,102,14,88
2014,Totals,682,258,424
2014,B-DMD,81,38,43
2014,B-GBI,66,16,50
2014,B-SWU,93,9,84
2014,K-DDK,154,107,47
2014,K-DIM,98,44,54
2014,K-GAMES,70,16,54
2014,K-SDT,120,28,92
2013,Totals,679,235,444
2013,B-DMD,71,30,41
2013,B-GBI,65,17,48
2013,B-SWU,70,6,64
2013,K-DDK,142,93,49
2013,K-DIM,127,55,72
2013,K-GAMES,68,12,56
2013,K-SDT,136,22,114
